pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-09-30,97.6,1.61,6.24,"Skubal, Tarik",680757,669373,field_out,hit_into_play,,,,,5.0,"Steven Kwan grounds out, pitcher Tarik Skubal to first baseman Spencer Torkelson. Petey Halpin to 2nd.",F,L,L,CLE,DET,X,1.0,ground_ball,1,0,2025,1.22,1.19,-0.0633415173346974,2.645961715815252,,,690984.0,1,8,Bot,121.88,181.25,,,,,-7.317024652874803,-141.8534487512362,-6.920154689831108,18.087990294482594,32.32457848984379,-14.73947669318349,3.19,1.45,12.0,93.7,-11.0,97.9,2333.0,6.5,813072,693307,679529,650402,656716,595879,682985,678009,672761,53.96,0.202,0.187,0.0,1.0,0.0,0.0,2.0,58,2,Sinker,1,2,1,2,2,1,1,2,Standard,Strategic,155.0,-0.059,-0.353,63.0,5.8,,0.224,0.353,93.7,-1,-1,0.326,0.326,28,27,29,28,4,3,7.0,2.0,5.0,1.0,1.21,1.22,1.22,53.3,-4.8984823408768765,9.285544278304943,32.78606882647221,32.569958505670606,20.441960300036826
SI,2025-09-30,98.3,1.6,6.12,"Skubal, Tarik",680757,669373,,ball,,,,,11.0,,F,L,L,CLE,DET,B,,,0,0,2025,1.31,1.12,-0.8823783258917206,3.5840962592609467,,,690984.0,1,8,Bot,,,,,,,-9.805887286165596,-142.73230926943936,-3.963970801559356,20.304433280989056,36.42849123222783,-16.10439858955818,3.14403380733559,1.45000009039899,,,,98.2,2387.0,6.6,813072,693307,679529,650402,656716,595879,682985,678009,672761,53.91,,,,,,,,58,1,Sinker,1,2,1,2,2,1,1,2,Standard,Strategic,147.0,0.01,0.035,,,,,-0.035,,-1,-1,0.316,0.316,28,27,29,28,4,3,7.0,2.0,5.0,1.0,1.27,1.31,1.31,48.8,,,,,
CH,2025-09-30,88.9,1.81,6.05,"Skubal, Tarik",595978,669373,walk,blocked_ball,,,,,13.0,Austin Hedges walks.,F,R,L,CLE,DET,B,,,3,2,2025,1.64,0.07,-0.4527299009220473,0.4079185532439346,,,,1,8,Bot,,,,,,,-8.987026910554174,-128.94001447329117,-7.822100324093896,20.28681554116101,30.39795840092003,-29.725583840788016,3.21047251512246,1.48999889355077,,,,88.3,1915.0,6.4,813072,693307,679529,650402,656716,595879,682985,678009,672761,54.1,,0.691497,0.7,1.0,0.0,0.0,,57,6,Changeup,1,2,1,2,2,1,1,2,Infield shade,Standard,17.0,0.06,0.339,,,,,-0.339,,-1,-1,0.256,0.256,28,32,29,33,3,2,7.0,3.0,5.0,,2.87,1.64,-1.64,42.6,,,,,
SL,2025-09-30,89.5,2.02,6.02,"Skubal, Tarik",595978,669373,,called_strike,,,,,4.0,,F,R,L,CLE,DET,S,,,3,1,2025,-0.27,0.39,-0.4395682430507478,2.2861287665761423,,,,1,8,Bot,,,,,,,-5.558168270395621,-130.31998222643722,-4.105583187272219,-1.9364257469914887,26.15290625590315,-27.107154620052807,3.25016603804207,1.48999949540063,,,,90.5,2264.0,6.8,813072,693307,679529,650402,656716,595879,682985,678009,672761,53.74,,,,,,,,57,5,Slider,1,2,1,2,2,1,1,2,Infield shade,Standard,177.0,-0.017,-0.087,,,,,0.087,,-1,-1,0.273,0.273,28,32,29,33,3,2,7.0,3.0,5.0,,2.44,-0.27,0.27,45.8,,,,,
FF,2025-09-30,96.8,1.55,6.24,"Skubal, Tarik",595978,669373,,called_strike,,,,,5.0,,F,R,L,CLE,DET,S,,,3,0,2025,0.48,1.44,-0.109964374275273,2.159309466496403,,,,1,8,Bot,,,,,,,-5.524421551356444,-140.5681796504084,-8.609599333724338,7.6150068309492145,34.043125696891344,-11.251613317327964,3.18499065289677,1.48999953082613,,,,96.9,2429.0,6.6,813072,693307,679529,650402,656716,595879,682985,678009,672761,53.9,,,,,,,,57,4,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,155.0,-0.015,-0.088,,,,,0.088,,-1,-1,0.288,0.288,28,32,29,33,3,2,7.0,3.0,5.0,,1.01,0.48,-0.48,52.3,,,,,
FF,2025-09-30,98.0,1.35,6.2,"Skubal, Tarik",595978,669373,,ball,,,,,14.0,,F,R,L,CLE,DET,B,,,2,0,2025,0.34,1.52,0.1339222927234389,1.3050121749547632,,,,1,8,Bot,,,,,,,-4.116279271161139,-142.28121441157802,-11.27160019319071,5.647503601892434,33.75096329508108,-9.085765393150368,3.23692667785857,1.48999914269433,,,,98.3,2471.0,6.7,813072,693307,679529,650402,656716,595879,682985,678009,672761,53.83,,,,,,,,57,3,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,153.0,0.022,0.143,,,,,-0.143,,-1,-1,0.266,0.266,28,32,29,33,3,2,7.0,3.0,5.0,,0.87,0.34,-0.34,52.0,,,,,
SL,2025-09-30,89.4,2.07,6.09,"Skubal, Tarik",595978,669373,,ball,,,,,12.0,,F,R,L,CLE,DET,B,,,1,0,2025,-0.18,0.44,0.0115213043348768,3.678823891860082,,,,1,8,Bot,,,,,,,-4.737894834939326,-130.26961891644103,-0.9817743839647564,-1.278891859442589,22.23206172774027,-27.10632303922604,3.25238588209626,1.48999895232611,,,,90.8,2184.0,6.6,813072,693307,679529,650402,656716,595879,682985,678009,672761,53.87,,,,,,,,57,2,Slider,1,2,1,2,2,1,1,2,Infield shade,Standard,160.0,0.014,0.071,,,,,-0.071,,-1,-1,0.252,0.252,28,32,29,33,3,2,7.0,3.0,5.0,,2.36,-0.18,0.18,46.7,,,,,
CH,2025-09-30,88.3,1.96,6.11,"Skubal, Tarik",595978,669373,,ball,,,,,12.0,,F,R,L,CLE,DET,B,,,0,0,2025,1.34,0.33,1.1634391198592366,3.318120835283468,,,,1,8,Bot,,,,,,,-4.729330437484668,-128.57311111343424,-1.4426599451783249,15.885106392019454,25.224511762307625,-28.38827283331208,3.28266042848814,1.4899988867887,,,,88.6,1828.0,6.3,813072,693307,679529,650402,656716,595879,682985,678009,672761,54.16,,,,,,,,57,1,Changeup,1,2,1,2,2,1,1,2,Infield shade,Standard,128.0,0.007,0.039,,,,,-0.039,,-1,-1,0.245,0.245,28,32,29,33,3,2,7.0,3.0,5.0,,2.57,1.34,-1.34,44.1,,,,,
CH,2025-09-30,91.5,1.74,6.02,"Skubal, Tarik",678877,669373,strikeout,swinging_strike_blocked,,,,,14.0,Jhonkensy Noel strikes out swinging.,F,R,L,CLE,DET,S,2.0,,0,2,2025,1.52,0.26,0.5790474350303414,0.2119629976112096,,,,0,8,Bot,,,,,,,-6.229031307199545,-132.7471435214208,-9.277210348306474,19.352052944779626,30.394662930945625,-27.13514546135045,3.59,1.74,,,,91.2,1878.0,6.4,813072,693307,679529,650402,656716,595879,682985,678009,672761,54.05,,0.0,0.0,1.0,0.0,0.0,,56,3,Changeup,1,2,1,2,2,1,1,2,Infield shade,Standard,134.0,-0.038,-0.165,70.5,8.7,9.45695196,,0.165,,-1,-1,0.283,0.283,28,23,29,24,3,2,7.0,2.0,5.0,,2.49,1.52,-1.52,41.7,21.76122366540024,-31.13490385915801,45.26372201786645,42.99964890298813,51.09951318266732
CH,2025-09-30,88.3,1.81,6.13,"Skubal, Tarik",678877,669373,,swinging_strike,,,,,14.0,,F,R,L,CLE,DET,S,,,0,1,2025,1.37,0.14,1.7251285439884747,1.8371144069351224,,,,0,8,Bot,,,,,,,-3.0659800871064897,-128.5226705902015,-4.660521129055012,15.82051018053144,26.348389807375412,-29.840206689996045,3.59,1.74,,,,88.3,1786.0,6.3,813072,693307,679529,650402,656716,595879,682985,678009,672761,54.24,,,,,,,,56,2,Changeup,1,2,1,2,2,1,1,2,Infield shade,Standard,131.0,-0.016,-0.055,72.7,8.3,1.696829592,,0.055,,-1,-1,0.299,0.299,28,23,29,24,3,2,7.0,2.0,5.0,,2.78,1.37,-1.37,44.9,10.3078298185018,-16.04923411311399,28.01712461493507,57.527654050808685,41.27171734022056
